Administración Pública,Licenciatura en Administración Pública,0814/01,Derecho Administrativo,6 hs,96,1,2
Administración Pública,Licenciatura en Administración Pública,0814/01,Políticas Públicas,6 hs,96,1,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Gestión de la Hacienda Pública,6 hs,96,1,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Métodos y Técnicas de la Investigación,6 hs,96,1,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Análisis Organizacional,6 hs,96,1,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Desarrollo Gerencial,8 hs,128,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Planficación y Control de Organizaciones Públicas,6 hs,96,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Seminario de Integración y Aplicación,8 hs,128,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Negociación,6 hs,96,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Métodos y Técnicas de Intervención Organizacional,8 hs,128,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Estado y Gestión Pública,6 hs,96,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Análisis de Políticas Públicas,8 hs,128,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Gestión y calidad de la seguridad,6 hs,96,2,3
Administración Pública,Licenciatura en Administración Pública,0814/01,Relaciones humanas y públicas en la gestión de la seguridad,8 hs,128,2,3
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Introducción a la Computación,8,128,1,0
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Matemática General,8,128,1,0
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Inglés Técnico,4,64,1,0
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Introducción a la Programación,8,128,2,0
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Introducción a la Administración de Sistemas,4,64,2,0
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Redes de Datos,8,128,2,0
